code,region,tipo_de_indicador,periodo,total
06,Cantabria,Volumen de agua disponible para su potabilización,2001,84.673
06,Cantabria,Volumen de agua disponible para su potabilización,2000,84.472
07,Castilla y León,Volumen de agua disponible no potabilizada,2022,275.152
07,Castilla y León,Volumen de agua disponible no potabilizada,2020,253.732
07,Castilla y León,Volumen de agua disponible no potabilizada,2018,263.907
07,Castilla y León,Volumen de agua disponible no potabilizada,2016,331.012
07,Castilla y León,Volumen de agua disponible no potabilizada,2014,371.375
07,Castilla y León,Volumen de agua disponible no potabilizada,2013,421.134
07,Castilla y León,Volumen de agua disponible no potabilizada,2012,371.489
07,Castilla y León,Volumen de agua disponible no potabilizada,2011,344.626
07,Castilla y León,Volumen de agua disponible no potabilizada,2010,328.249
07,Castilla y León,Volumen de agua disponible no potabilizada,2009,317.164
07,Castilla y León,Volumen de agua disponible no potabilizada,2008,293.689
07,Castilla y León,Volumen de agua disponible no potabilizada,2007,283.169
07,Castilla y León,Volumen de agua disponible no potabilizada,2006,309.959
07,Castilla y León,Volumen de agua disponible no potabilizada,2005,353.255
07,Castilla y León,Volumen de agua disponible no potabilizada,2004,359.416
07,Castilla y León,Volumen de agua disponible no potabilizada,2003,380.924
07,Castilla y León,Volumen de agua disponible no potabilizada,2002,344.686
07,Castilla y León,Volumen de agua disponible no potabilizada,2001,334.101
07,Castilla y León,Volumen de agua disponible no potabilizada,2000,361.502
07,Castilla y León,Volumen de agua disponible para su potabilización,2022,268.457
07,Castilla y León,Volumen de agua disponible para su potabilización,2020,264.742
07,Castilla y León,Volumen de agua disponible para su potabilización,2018,286.756
07,Castilla y León,Volumen de agua disponible para su potabilización,2016,306.729
07,Castilla y León,Volumen de agua disponible para su potabilización,2014,379.036
07,Castilla y León,Volumen de agua disponible para su potabilización,2013,427.940
07,Castilla y León,Volumen de agua disponible para su potabilización,2012,348.115
07,Castilla y León,Volumen de agua disponible para su potabilización,2011,347.668
07,Castilla y León,Volumen de agua disponible para su potabilización,2010,322.295
07,Castilla y León,Volumen de agua disponible para su potabilización,2009,293.222
07,Castilla y León,Volumen de agua disponible para su potabilización,2008,307.939
07,Castilla y León,Volumen de agua disponible para su potabilización,2007,320.952
07,Castilla y León,Volumen de agua disponible para su potabilización,2006,377.058
07,Castilla y León,Volumen de agua disponible para su potabilización,2005,371.929
07,Castilla y León,Volumen de agua disponible para su potabilización,2004,389.109
07,Castilla y León,Volumen de agua disponible para su potabilización,2003,401.920
07,Castilla y León,Volumen de agua disponible para su potabilización,2002,358.541
07,Castilla y León,Volumen de agua disponible para su potabilización,2001,345.357
07,Castilla y León,Volumen de agua disponible para su potabilización,2000,372.978
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2022,253.932
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2020,158.056
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2018,169.498
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2016,144.421
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2014,186.662
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2013,198.031
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2012,159.111
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2011,197.933
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2010,232.872
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2009,240.626
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2008,224.382
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2007,227.871
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2006,222.790
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2005,218.719
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2004,216.859
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2003,225.994
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2002,195.722
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2001,211.160
08,Castilla - La Mancha,Volumen de agua disponible no potabilizada,2000,217.712
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2022,251.505
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2020,237.332
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2018,231.617
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2016,222.147
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2014,239.671
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2013,263.853
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2012,220.096
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2011,261.482
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2010,243.126
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2009,244.127
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2008,235.230
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2007,238.295
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2006,236.450
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2005,234.711
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2004,254.141
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2003,258.586
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2002,219.003
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2001,232.313
08,Castilla - La Mancha,Volumen de agua disponible para su potabilización,2000,214.724
09,Cataluña,Volumen de agua disponible no potabilizada,2022,313.937
09,Cataluña,Volumen de agua disponible no potabilizada,2020,368.578
09,Cataluña,Volumen de agua disponible no potabilizada,2018,455.790
09,Cataluña,Volumen de agua disponible no potabilizada,2016,462.818
09,Cataluña,Volumen de agua disponible no potabilizada,2014,454.294
09,Cataluña,Volumen de agua disponible no potabilizada,2013,473.753
09,Cataluña,Volumen de agua disponible no potabilizada,2012,400.324
09,Cataluña,Volumen de agua disponible no potabilizada,2011,398.859
09,Cataluña,Volumen de agua disponible no potabilizada,2010,416.452
09,Cataluña,Volumen de agua disponible no potabilizada,2009,381.959
09,Cataluña,Volumen de agua disponible no potabilizada,2008,427.979
09,Cataluña,Volumen de agua disponible no potabilizada,2007,459.249
09,Cataluña,Volumen de agua disponible no potabilizada,2006,520.612
09,Cataluña,Volumen de agua disponible no potabilizada,2005,439.319
09,Cataluña,Volumen de agua disponible no potabilizada,2004,477.937
09,Cataluña,Volumen de agua disponible no potabilizada,2003,487.984
09,Cataluña,Volumen de agua disponible no potabilizada,2002,551.486
09,Cataluña,Volumen de agua disponible no potabilizada,2001,594.511
09,Cataluña,Volumen de agua disponible no potabilizada,2000,598.012
09,Cataluña,Volumen de agua disponible para su potabilización,2022,574.062
09,Cataluña,Volumen de agua disponible para su potabilización,2020,617.993
09,Cataluña,Volumen de agua disponible para su potabilización,2018,700.729
09,Cataluña,Volumen de agua disponible para su potabilización,2016,752.556
