code,region,tipo_de_destino,periodo,total
06,Cantabria,"Agricultura, silvicultura y jardinería",2022,"98,0"
06,Cantabria,"Agricultura, silvicultura y jardinería",2020,"94,6"
06,Cantabria,"Agricultura, silvicultura y jardinería",2018,"92,5"
06,Cantabria,"Agricultura, silvicultura y jardinería",2016,"85,2"
06,Cantabria,"Agricultura, silvicultura y jardinería",2014,"68,4"
06,Cantabria,"Agricultura, silvicultura y jardinería",2013,"1,6"
06,Cantabria,"Agricultura, silvicultura y jardinería",2012,"0,9"
06,Cantabria,"Agricultura, silvicultura y jardinería",2011,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2010,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2009,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2008,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2007,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2006,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2005,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2004,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2003,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2002,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2001,..
06,Cantabria,"Agricultura, silvicultura y jardinería",2000,..
06,Cantabria,Incineración o aprovechamiento energético,2022,"0,0"
06,Cantabria,Incineración o aprovechamiento energético,2020,"0,0"
06,Cantabria,Incineración o aprovechamiento energético,2018,"0,0"
06,Cantabria,Incineración o aprovechamiento energético,2016,"0,0"
06,Cantabria,Incineración o aprovechamiento energético,2014,"0,0"
06,Cantabria,Incineración o aprovechamiento energético,2013,"78,2"
06,Cantabria,Incineración o aprovechamiento energético,2012,"98,2"
06,Cantabria,Incineración o aprovechamiento energético,2011,..
06,Cantabria,Incineración o aprovechamiento energético,2010,..
06,Cantabria,Incineración o aprovechamiento energético,2009,..
06,Cantabria,Incineración o aprovechamiento energético,2008,..
06,Cantabria,Incineración o aprovechamiento energético,2007,..
06,Cantabria,Incineración o aprovechamiento energético,2006,..
06,Cantabria,Incineración o aprovechamiento energético,2005,..
06,Cantabria,Incineración o aprovechamiento energético,2004,..
06,Cantabria,Incineración o aprovechamiento energético,2003,..
06,Cantabria,Incineración o aprovechamiento energético,2002,..
06,Cantabria,Incineración o aprovechamiento energético,2001,..
06,Cantabria,Incineración o aprovechamiento energético,2000,..
06,Cantabria,Vertedero,2022,"2,0"
06,Cantabria,Vertedero,2020,"5,4"
06,Cantabria,Vertedero,2018,"7,5"
06,Cantabria,Vertedero,2016,"14,8"
06,Cantabria,Vertedero,2014,"31,6"
06,Cantabria,Vertedero,2013,"20,2"
06,Cantabria,Vertedero,2012,"0,9"
06,Cantabria,Vertedero,2011,..
06,Cantabria,Vertedero,2010,..
06,Cantabria,Vertedero,2009,..
06,Cantabria,Vertedero,2008,..
06,Cantabria,Vertedero,2007,..
06,Cantabria,Vertedero,2006,..
06,Cantabria,Vertedero,2005,..
06,Cantabria,Vertedero,2004,..
06,Cantabria,Vertedero,2003,..
06,Cantabria,Vertedero,2002,..
06,Cantabria,Vertedero,2001,..
06,Cantabria,Vertedero,2000,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2022,"97,4"
07,Castilla y León,"Agricultura, silvicultura y jardinería",2020,"99,3"
07,Castilla y León,"Agricultura, silvicultura y jardinería",2018,"94,8"
07,Castilla y León,"Agricultura, silvicultura y jardinería",2016,"81,8"
07,Castilla y León,"Agricultura, silvicultura y jardinería",2014,"90,7"
07,Castilla y León,"Agricultura, silvicultura y jardinería",2013,"95,6"
07,Castilla y León,"Agricultura, silvicultura y jardinería",2012,"94,8"
07,Castilla y León,"Agricultura, silvicultura y jardinería",2011,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2010,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2009,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2008,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2007,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2006,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2005,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2004,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2003,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2002,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2001,..
07,Castilla y León,"Agricultura, silvicultura y jardinería",2000,..
07,Castilla y León,Incineración o aprovechamiento energético,2022,"0,6"
07,Castilla y León,Incineración o aprovechamiento energético,2020,"0,0"
07,Castilla y León,Incineración o aprovechamiento energético,2018,"0,0"
07,Castilla y León,Incineración o aprovechamiento energético,2016,"0,0"
07,Castilla y León,Incineración o aprovechamiento energético,2014,"0,0"
07,Castilla y León,Incineración o aprovechamiento energético,2013,"0,0"
07,Castilla y León,Incineración o aprovechamiento energético,2012,"0,2"
07,Castilla y León,Incineración o aprovechamiento energético,2011,..
07,Castilla y León,Incineración o aprovechamiento energético,2010,..
07,Castilla y León,Incineración o aprovechamiento energético,2009,..
07,Castilla y León,Incineración o aprovechamiento energético,2008,..
07,Castilla y León,Incineración o aprovechamiento energético,2007,..
07,Castilla y León,Incineración o aprovechamiento energético,2006,..
07,Castilla y León,Incineración o aprovechamiento energético,2005,..
07,Castilla y León,Incineración o aprovechamiento energético,2004,..
07,Castilla y León,Incineración o aprovechamiento energético,2003,..
07,Castilla y León,Incineración o aprovechamiento energético,2002,..
07,Castilla y León,Incineración o aprovechamiento energético,2001,..
07,Castilla y León,Incineración o aprovechamiento energético,2000,..
07,Castilla y León,Vertedero,2022,"2,0"
07,Castilla y León,Vertedero,2020,"0,7"
07,Castilla y León,Vertedero,2018,"5,2"
07,Castilla y León,Vertedero,2016,"18,2"
07,Castilla y León,Vertedero,2014,"9,3"
07,Castilla y León,Vertedero,2013,"4,4"
07,Castilla y León,Vertedero,2012,"5,0"
07,Castilla y León,Vertedero,2011,..
07,Castilla y León,Vertedero,2010,..
07,Castilla y León,Vertedero,2009,..
07,Castilla y León,Vertedero,2008,..
07,Castilla y León,Vertedero,2007,..
07,Castilla y León,Vertedero,2006,..
07,Castilla y León,Vertedero,2005,..
07,Castilla y León,Vertedero,2004,..
07,Castilla y León,Vertedero,2003,..
