region_code,region,tipo_de_indicador,periodo,total
03,"Asturias, Principado de",Pérdidas reales,2008,20.246
03,"Asturias, Principado de",Pérdidas reales,2007,19.133
03,"Asturias, Principado de",Pérdidas reales,2006,11.671
03,"Asturias, Principado de",Pérdidas reales,2005,14.823
03,"Asturias, Principado de",Pérdidas reales,2004,24.930
03,"Asturias, Principado de",Pérdidas reales,2003,20.985
03,"Asturias, Principado de",Pérdidas reales,2002,17.352
03,"Asturias, Principado de",Pérdidas reales,2001,22.433
03,"Asturias, Principado de",Pérdidas reales,2000,25.697
03,"Asturias, Principado de",Pérdidas aparentes,2022,17.183
03,"Asturias, Principado de",Pérdidas aparentes,2020,12.751
03,"Asturias, Principado de",Pérdidas aparentes,2018,13.068
03,"Asturias, Principado de",Pérdidas aparentes,2016,15.675
03,"Asturias, Principado de",Pérdidas aparentes,2014,15.500
03,"Asturias, Principado de",Pérdidas aparentes,2013,17.563
03,"Asturias, Principado de",Pérdidas aparentes,2012,17.930
03,"Asturias, Principado de",Pérdidas aparentes,2011,14.460
03,"Asturias, Principado de",Pérdidas aparentes,2010,12.536
03,"Asturias, Principado de",Pérdidas aparentes,2009,12.596
03,"Asturias, Principado de",Pérdidas aparentes,2008,9.096
03,"Asturias, Principado de",Pérdidas aparentes,2007,10.607
03,"Asturias, Principado de",Pérdidas aparentes,2006,..
03,"Asturias, Principado de",Pérdidas aparentes,2005,..
03,"Asturias, Principado de",Pérdidas aparentes,2004,..
03,"Asturias, Principado de",Pérdidas aparentes,2003,..
03,"Asturias, Principado de",Pérdidas aparentes,2002,..
03,"Asturias, Principado de",Pérdidas aparentes,2001,..
03,"Asturias, Principado de",Pérdidas aparentes,2000,..
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2022,110.449
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2020,111.137
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2018,113.624
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2016,125.540
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2014,111.288
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2013,109.278
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2012,106.795
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2011,101.573
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2010,98.771
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2009,107.954
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2008,113.558
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2007,111.967
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2006,118.920
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2005,114.468
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2004,120.070
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2003,99.365
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2002,93.538
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2001,86.852
04,"Balears, Illes",Volumen de agua suministrada a la red de abastecimiento público,2000,87.460
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2022,85.503
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2020,82.743
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2018,87.576
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2016,94.235
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2014,85.556
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2013,84.969
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2012,81.979
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2011,74.509
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2010,73.902
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2009,81.702
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2008,88.749
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2007,86.057
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2006,95.743
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2005,91.401
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2004,92.477
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2003,77.408
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2002,71.792
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2001,65.706
04,"Balears, Illes",Volumen total de agua registrada y distribuida por tipo de usuario,2000,67.421
04,"Balears, Illes",Volumen de agua no registrada,2022,24.947
04,"Balears, Illes",Volumen de agua no registrada,2020,28.394
