code,region,grupos_de_usuarios_e_importe,periodo,total
01,Andalucía,- Hogares,2000,490.278
01,Andalucía,- Consumos municipales,2022,51.728
01,Andalucía,- Consumos municipales,2020,40.790
01,Andalucía,- Consumos municipales,2018,42.922
01,Andalucía,- Consumos municipales,2016,47.100
01,Andalucía,- Consumos municipales,2014,55.725
01,Andalucía,- Consumos municipales,2013,56.050
01,Andalucía,- Consumos municipales,2012,60.200
01,Andalucía,- Consumos municipales,2011,59.385
01,Andalucía,- Consumos municipales,2010,59.178
01,Andalucía,- Consumos municipales,2009,67.305
01,Andalucía,- Consumos municipales,2008,65.850
01,Andalucía,- Consumos municipales,2007,68.019
01,Andalucía,- Consumos municipales,2006,76.191
01,Andalucía,- Consumos municipales,2005,90.588
01,Andalucía,- Consumos municipales,2004,80.957
01,Andalucía,- Consumos municipales,2003,78.133
01,Andalucía,- Consumos municipales,2002,80.883
01,Andalucía,- Consumos municipales,2001,88.839
01,Andalucía,- Consumos municipales,2000,71.459
01,Andalucía,Importe facturado por el agua suministrada,2022,648.326
01,Andalucía,Importe facturado por el agua suministrada,2020,606.998
01,Andalucía,Importe facturado por el agua suministrada,2018,569.826
01,Andalucía,Importe facturado por el agua suministrada,2016,585.314
01,Andalucía,Importe facturado por el agua suministrada,2014,588.722
01,Andalucía,Importe facturado por el agua suministrada,2013,568.896
01,Andalucía,Importe facturado por el agua suministrada,2012,556.842
01,Andalucía,Importe facturado por el agua suministrada,2011,516.303
01,Andalucía,Importe facturado por el agua suministrada,2010,497.474
01,Andalucía,Importe facturado por el agua suministrada,2009,507.945
01,Andalucía,Importe facturado por el agua suministrada,2008,479.831
01,Andalucía,Importe facturado por el agua suministrada,2007,466.132
01,Andalucía,Importe facturado por el agua suministrada,2006,487.014
01,Andalucía,Importe facturado por el agua suministrada,2005,496.013
01,Andalucía,Importe facturado por el agua suministrada,2004,490.925
01,Andalucía,Importe facturado por el agua suministrada,2003,415.142
01,Andalucía,Importe facturado por el agua suministrada,2002,335.606
01,Andalucía,Importe facturado por el agua suministrada,2001,307.133
01,Andalucía,Importe facturado por el agua suministrada,2000,257.275
01,Andalucía,Importe total de la inversión en los servicios de suministro,2022,26.032
01,Andalucía,Importe total de la inversión en los servicios de suministro,2020,43.361
01,Andalucía,Importe total de la inversión en los servicios de suministro,2018,24.532
01,Andalucía,Importe total de la inversión en los servicios de suministro,2016,24.707
01,Andalucía,Importe total de la inversión en los servicios de suministro,2014,40.299
01,Andalucía,Importe total de la inversión en los servicios de suministro,2013,31.357
01,Andalucía,Importe total de la inversión en los servicios de suministro,2012,42.366
01,Andalucía,Importe total de la inversión en los servicios de suministro,2011,152.315
01,Andalucía,Importe total de la inversión en los servicios de suministro,2010,49.250
01,Andalucía,Importe total de la inversión en los servicios de suministro,2009,47.526
01,Andalucía,Importe total de la inversión en los servicios de suministro,2008,68.091
01,Andalucía,Importe total de la inversión en los servicios de suministro,2007,53.503
01,Andalucía,Importe total de la inversión en los servicios de suministro,2006,64.770
01,Andalucía,Importe total de la inversión en los servicios de suministro,2005,73.472
01,Andalucía,Importe total de la inversión en los servicios de suministro,2004,62.850
01,Andalucía,Importe total de la inversión en los servicios de suministro,2003,50.801
01,Andalucía,Importe total de la inversión en los servicios de suministro,2002,57.882
01,Andalucía,Importe total de la inversión en los servicios de suministro,2001,95.113
01,Andalucía,Importe total de la inversión en los servicios de suministro,2000,116.440
01,Andalucía,Longitud de la red de suministro (km),2022,44.847
01,Andalucía,Longitud de la red de suministro (km),2020,45.752
01,Andalucía,Longitud de la red de suministro (km),2018,45.269
01,Andalucía,Longitud de la red de suministro (km),2016,44.325
01,Andalucía,Longitud de la red de suministro (km),2014,46.210
01,Andalucía,Longitud de la red de suministro (km),2013,44.280
01,Andalucía,Longitud de la red de suministro (km),2012,..
01,Andalucía,Longitud de la red de suministro (km),2011,..
01,Andalucía,Longitud de la red de suministro (km),2010,..
01,Andalucía,Longitud de la red de suministro (km),2009,..
01,Andalucía,Longitud de la red de suministro (km),2008,..
01,Andalucía,Longitud de la red de suministro (km),2007,..
01,Andalucía,Longitud de la red de suministro (km),2006,..
01,Andalucía,Longitud de la red de suministro (km),2005,..
01,Andalucía,Longitud de la red de suministro (km),2004,..
01,Andalucía,Longitud de la red de suministro (km),2003,..
01,Andalucía,Longitud de la red de suministro (km),2002,..
01,Andalucía,Longitud de la red de suministro (km),2001,..
01,Andalucía,Longitud de la red de suministro (km),2000,..
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2022,92.628
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2020,97.701
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2018,101.723
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2016,102.785
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2014,97.052
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2013,95.406
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2012,106.036
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2011,97.449
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2010,104.256
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2009,108.516
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2008,113.256
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2007,101.814
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2006,111.741
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2005,115.627
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2004,113.896
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2003,125.300
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2002,116.030
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2001,108.990
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2000,110.567
02,Aragón,- Sectores económicos,2022,25.551
02,Aragón,- Sectores económicos,2020,25.931
02,Aragón,- Sectores económicos,2018,28.412
02,Aragón,- Sectores económicos,2016,27.866
02,Aragón,- Sectores económicos,2014,25.278
02,Aragón,- Sectores económicos,2013,24.577
02,Aragón,- Sectores económicos,2012,28.777
02,Aragón,- Sectores económicos,2011,28.601
02,Aragón,- Sectores económicos,2010,28.991
02,Aragón,- Sectores económicos,2009,30.560
02,Aragón,- Sectores económicos,2008,31.962
02,Aragón,- Sectores económicos,2007,26.194
02,Aragón,- Sectores económicos,2006,28.030
02,Aragón,- Sectores económicos,2005,31.797
02,Aragón,- Sectores económicos,2004,26.126
02,Aragón,- Sectores económicos,2003,30.293
02,Aragón,- Sectores económicos,2002,35.791
02,Aragón,- Sectores económicos,2001,23.569
02,Aragón,- Sectores económicos,2000,26.110
02,Aragón,- Hogares,2022,53.185
02,Aragón,- Hogares,2020,64.975
02,Aragón,- Hogares,2018,62.011
02,Aragón,- Hogares,2016,65.776
02,Aragón,- Hogares,2014,62.877
02,Aragón,- Hogares,2013,62.913
02,Aragón,- Hogares,2012,66.288
02,Aragón,- Hogares,2011,63.386
02,Aragón,- Hogares,2010,69.125
02,Aragón,- Hogares,2009,71.151
02,Aragón,- Hogares,2008,71.233
